stock,year,a4,a5,a6,a7,n
aggregate,1985,3,14,64,18,100
aggregate,1986,4,24,49,23,100
aggregate,1987,4,13,68,15,100
aggregate,1988,8,24,28,40,100
aggregate,1989,8,27,52,14,100
aggregate,1990,11,26,55,9,101
aggregate,1991,3,35,48,14,101
aggregate,1992,6,20,70,4,99
aggregate,1993,8,29,51,11,101
aggregate,1994,4,39,49,8,100
aggregate,1995,5,18,69,7,100
aggregate,1996,3,45,36,15,100
aggregate,1997,4,18,74,4,100
aggregate,1998,4,37,47,12,100
aggregate,1999,3,21,72,4,100
aggregate,2000,5,31,52,13,100
aggregate,2001,6,30,55,10,100
aggregate,2002,7,31,52,10,100
aggregate,2003,3,29,61,7,100
aggregate,2004,5,24,65,6,100
aggregate,2005,4,30,60,6,100
aggregate,2006,5,50,42,3,100
aggregate,2007,7,31,60,2,101
aggregate,2008,5,56,35,4,101
aggregate,2009,9,30,59,1,100
aggregate,2010,10,47,39,5,99
aggregate,2011,4,34,55,7,100
aggregate,2012,7,36,53,4,100
aggregate,2013,7,31,57,5,100
aggregate,2014,8,49,40,3,100
aggregate,2015,13,33,51,3,99
aggregate,2016,11,60,27,2,100
aggregate,2017,6,46,47,2,99
aggregate,2018,12,42,44,3,100
aggregate,2019,9,46,42,2,100
aggregate,2020,7,38,51,4,100
aggregate,2021,3,41,51,5,100
aggregate,2022,7,39,48,5,100
aggregate,2023,4,50,39,6,100
