four,five,six,seven,Year,a4,a5,a6,a7,n
0.064732791,0.298798741,0.594871163,0.04159729,1981,3,15,30,2,50
0.048155894,0.119605694,0.576017131,0.25541058,1982,2,6,29,13,50
0.018613804,0.175490524,0.67244749,0.133532187,1983,1,9,34,7,50
0.023644564,0.117461399,0.647513031,0.211380986,1984,1,6,32,11,50
0.009539437,0.074508791,0.690004833,0.225594722,1985,0,4,35,11,50
0.035495151,0.181204219,0.495051717,0.28750415,1986,2,9,25,14,50
0.030640495,0.076628114,0.709630678,0.182845697,1987,2,4,35,9,50
0.073217163,0.213907968,0.226228325,0.486333882,1988,4,11,11,24,50
0.073850372,0.228267728,0.524894073,0.172846677,1989,4,11,26,9,50
0.110022331,0.236817129,0.559853037,0.092968741,1990,6,12,28,5,50
0.016728739,0.335803657,0.482959496,0.164328193,1991,1,17,24,8,50
0.046733115,0.171002976,0.749598716,0.032761242,1992,2,9,37,2,50
0.072046091,0.267492683,0.535684903,0.124633199,1993,4,13,27,6,50
0.029398077,0.392462002,0.485823622,0.093193988,1994,1,20,24,5,50
0.045361724,0.132428974,0.744626621,0.076896979,1995,2,7,37,4,50
0.022114573,0.494613111,0.309863039,0.173700826,1996,1,25,15,9,50
0.03763678,0.14550642,0.787100469,0.030045145,1997,2,7,39,2,50
0.025580254,0.390138562,0.45648678,0.127930015,1998,1,20,23,6,50
0.019969772,0.184815025,0.774320204,0.020853597,1999,1,9,39,1,50
0.034138687,0.299426165,0.525474679,0.140851105,2000,2,15,26,7,50
0.046491295,0.267910837,0.57880383,0.106753361,2001,2,13,29,5,50
0.064987334,0.273606425,0.537047687,0.12431395,2002,3,14,27,6,50
0.015686047,0.274543909,0.631249027,0.078525979,2003,1,14,32,4,50
0.048907787,0.193342889,0.706853633,0.050901233,2004,2,10,35,3,50
0.023290373,0.329354284,0.596829701,0.050381875,2005,1,16,30,3,50
0.041425923,0.531151114,0.415551527,0.011815757,2006,4,53,42,1,100
0.066975296,0.329167773,0.589380457,0.014515123,2007,7,33,59,1,100
0.042855188,0.598030666,0.324852415,0.034268607,2008,4,60,32,3,100
0.093791554,0.307143576,0.596565013,0.002488972,2009,9,31,60,0,100
0.103098482,0.49473291,0.364493319,0.037781314,2010,10,49,36,4,100
0.038355509,0.346126636,0.547848999,0.067618684,2011,4,35,55,7,100
0.071833853,0.373870711,0.519268532,0.034921435,2012,7,37,52,3,100
0.067485971,0.30450755,0.587584626,0.040478202,2013,7,30,59,4,100
0.073095551,0.501893395,0.399073587,0.025985339,2014,7,50,40,3,100
0.128934694,0.338139866,0.511944118,0.020997854,2015,13,34,51,2,100
0.11881169,0.637402733,0.23831363,0.005478049,2016,12,64,24,1,100
0.058382889,0.482429412,0.450015257,0.009092785,2017,6,48,45,1,100
0.125050025,0.439994579,0.41909803,0.015882174,2018,13,44,42,2,100
0.097164759,0.483326544,0.407816054,0.011706038,2019,10,48,41,1,100
0.078344285,0.408159065,0.481508727,0.031895063,2020,8,41,48,3,100
0.022049729,0.453207417,0.484785121,0.039945043,2021,2,45,48,4,100
0.070656481,0.416177125,0.471284868,0.041851872,2022,7,42,47,4,100
0.035491556,0.534525596,0.373586009,0.056382528,2023,4,53,37,6,100
0.122239305,0.458575747,0.397805915,0.021409626,2024,12,46,40,2,100
